Gender,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
0,17,2,5,7,6,4,responsible
0,20,3,2,7,6,4,dependable
1,25,4,4,7,6,4,serious
1,20,5,2,4,5,7,lively
1,21,7,4,1,3,4,dependable
1,22,8,4,2,2,5,lively
0,20,7,7,7,7,2,extraverted
1,19,4,6,4,6,6,dependable
1,20,7,6,4,5,5,dependable
1,22,7,6,7,4,3,serious
0,19,4,4,5,5,4,lively
1,18,5,6,6,6,6,lively
0,17,5,6,5,7,4,extraverted
1,17,6,6,7,5,7,serious
1,21,5,7,5,6,7,lively
0,19,5,5,5,5,5,lively
1,22,6,7,5,6,3,serious
0,19,7,6,7,7,6,extraverted
1,21,6,6,6,6,6,serious
1,22,6,7,5,5,5,dependable
1,21,5,5,5,5,5,extraverted
1,17,4,6,7,3,3,extraverted
1,19,7,7,2,6,5,serious
0,21,6,7,4,4,2,responsible
1,19,5,6,6,4,3,responsible
0,21,4,6,3,3,3,extraverted
1,19,6,4,6,3,6,responsible
1,22,4,5,4,3,6,serious
0,21,5,5,5,5,5,responsible
1,17,5,3,3,4,4,extraverted
1,19,7,7,5,5,7,serious
1,19,7,5,6,6,5,serious
0,18,6,7,5,5,7,responsible
0,22,4,6,4,6,6,extraverted
0,26,6,5,6,4,5,lively
0,20,7,4,7,6,5,dependable
0,21,6,6,3,5,4,extraverted
1,23,6,5,5,6,3,extraverted
1,18,6,6,5,6,6,dependable
0,24,6,3,5,5,4,lively
1,18,5,7,3,6,4,extraverted
0,22,7,6,6,6,5,lively
1,18,1,6,6,7,5,responsible
0,20,7,7,5,7,3,dependable
0,21,7,3,7,7,3,dependable
0,18,6,5,4,5,5,serious
1,23,3,5,5,4,2,responsible
0,25,6,7,6,6,6,extraverted
0,18,7,5,6,6,4,lively
0,20,5,5,5,6,2,extraverted
1,23,6,5,7,6,4,dependable
1,21,5,6,5,5,3,serious
0,22,5,5,4,4,3,responsible
0,20,7,5,5,5,5,serious
1,18,6,4,3,6,2,lively
1,17,6,4,7,6,4,lively
0,19,3,4,5,5,1,responsible
0,18,4,4,4,6,1,extraverted
1,17,5,4,3,6,6,serious
1,23,7,7,4,4,5,extraverted
0,19,7,6,7,6,6,lively
1,18,7,5,6,4,3,serious
0,17,4,5,4,8,4,extraverted
1,22,6,6,5,4,4,dependable
0,19,7,8,5,4,7,lively
1,19,5,4,3,6,3,lively
1,19,3,7,2,6,5,serious
1,23,7,6,5,5,5,extraverted
0,19,7,7,4,5,2,responsible
1,19,6,6,4,8,6,dependable
0,18,7,5,5,4,4,lively
0,24,6,6,5,5,4,serious
0,17,7,6,5,4,4,responsible
0,19,5,6,6,7,4,dependable
1,19,6,5,5,6,4,lively
1,22,5,5,5,7,3,dependable
1,18,7,8,4,4,3,extraverted
1,18,7,6,8,5,7,extraverted
0,17,5,5,5,5,6,lively
1,24,5,5,4,4,4,dependable
0,18,6,6,5,6,4,responsible
0,18,7,4,7,7,4,serious
0,17,4,6,4,4,7,extraverted
1,24,7,4,5,5,5,dependable
0,19,5,5,5,5,6,lively
0,18,5,1,6,6,2,lively
1,18,3,6,3,3,7,responsible
1,22,7,5,7,5,2,lively
1,21,8,8,5,5,3,serious
0,21,6,5,4,7,2,responsible
0,18,6,4,4,6,5,lively
0,22,7,5,7,6,1,serious
0,19,6,3,7,4,4,dependable
0,18,4,6,4,4,4,serious
1,20,5,6,6,5,4,lively
0,20,6,7,6,5,4,responsible
0,18,5,5,5,4,6,dependable
1,18,6,5,4,4,3,extraverted
0,18,7,5,2,4,6,dependable
0,17,4,4,4,4,4,serious
1,21,5,8,5,6,4,lively
1,18,3,6,7,4,3,responsible
0,18,4,4,5,7,6,extraverted
1,23,5,5,4,6,3,lively
1,19,6,3,3,6,4,serious
1,23,5,5,2,2,1,responsible
1,18,6,6,3,6,2,responsible
0,19,6,5,4,5,3,lively
1,27,7,5,6,7,5,serious
0,19,6,5,4,7,5,dependable
0,21,5,5,3,5,2,lively
0,18,7,6,5,5,1,extraverted
0,17,7,4,7,3,5,serious
1,22,5,1,5,1,5,lively
0,18,5,7,3,2,3,extraverted
1,22,7,5,6,7,3,dependable
0,19,5,5,6,3,4,responsible
1,23,7,5,7,1,5,serious
0,17,6,6,4,6,4,lively
1,19,3,4,5,5,5,lively
1,18,2,6,6,7,7,dependable
1,23,6,2,6,5,5,responsible
0,19,5,5,5,1,4,dependable
1,19,4,6,5,7,5,dependable
0,28,6,4,6,5,6,lively
1,23,5,3,4,7,6,dependable
0,18,4,6,5,6,5,responsible
1,20,7,5,5,5,2,serious
0,18,4,5,5,6,4,dependable
1,22,4,6,6,5,6,lively
0,19,4,4,6,5,2,serious
1,28,7,3,5,5,3,extraverted
0,17,2,6,3,6,3,lively
0,22,5,7,7,6,2,extraverted
1,20,6,6,4,5,2,responsible
0,18,3,1,5,3,2,responsible
0,19,5,3,4,5,4,dependable
1,22,3,5,5,7,4,extraverted
0,21,4,6,3,3,5,responsible
0,18,5,5,5,6,3,serious
0,17,4,3,7,6,5,lively
1,20,4,7,6,5,3,serious
0,18,5,5,6,1,6,serious
1,22,2,6,7,2,6,extraverted
1,19,6,2,6,6,4,serious
1,21,7,5,6,2,6,dependable
0,17,6,6,6,6,4,dependable
0,19,6,2,6,7,3,lively
0,18,5,3,6,7,5,extraverted
1,19,5,5,6,2,5,dependable
0,18,6,5,5,1,6,responsible
1,19,3,5,6,8,5,serious
0,19,5,2,3,4,3,lively
0,22,5,3,6,7,4,serious
0,17,7,4,5,5,7,extraverted
1,23,5,3,6,6,5,serious
0,19,3,4,7,7,3,serious
1,20,7,5,4,1,5,dependable
0,17,4,1,6,5,5,responsible
0,18,3,6,3,7,4,serious
1,21,6,4,3,1,7,extraverted
0,19,7,3,2,2,4,dependable
0,19,2,2,5,5,4,serious
1,18,6,3,2,3,5,dependable
1,22,4,6,6,5,4,extraverted
1,19,6,5,4,6,2,lively
1,18,2,5,4,6,1,serious
0,19,4,7,5,4,4,responsible
1,21,4,7,4,7,3,dependable
0,19,5,5,5,5,6,lively
0,19,7,6,7,4,7,dependable
0,19,5,7,7,7,6,serious
0,22,6,7,5,4,1,dependable
0,19,6,6,4,4,6,responsible
1,27,5,5,7,5,7,lively
1,17,2,7,2,6,4,dependable
0,20,6,3,4,5,1,lively
0,18,5,5,5,3,2,extraverted
0,17,5,4,4,4,2,extraverted
1,19,5,3,1,3,5,lively
1,21,5,5,2,6,4,serious
0,19,6,6,2,4,2,extraverted
0,19,5,4,4,4,5,lively
1,18,7,7,1,1,4,dependable
1,22,6,2,2,7,4,extraverted
1,20,6,6,1,5,5,serious
0,19,5,7,5,5,6,serious
1,19,4,5,5,4,5,dependable
1,21,5,3,4,6,2,responsible
0,19,5,5,4,4,5,serious
0,27,5,2,5,5,5,extraverted
0,23,6,7,3,7,6,serious
0,18,6,5,1,7,4,lively
1,25,5,5,1,3,6,extraverted
0,18,6,7,5,5,6,serious
1,21,5,6,2,7,4,responsible
0,19,3,4,7,6,5,serious
1,17,5,5,7,6,5,lively
0,20,4,5,6,6,1,responsible
1,18,6,3,1,5,5,dependable
1,22,5,2,3,6,1,serious
1,19,5,6,5,7,5,extraverted
0,18,5,5,7,6,5,extraverted
0,20,7,9,9,5,5,dependable
1,17,5,4,5,2,4,serious
0,25,5,5,7,2,4,serious
0,18,6,2,7,4,7,serious
0,19,2,4,7,1,3,responsible
0,19,6,4,7,5,5,serious
0,24,1,2,7,4,6,extraverted
1,27,4,5,7,4,4,serious
1,20,6,4,5,6,6,serious
1,21,5,4,4,6,4,serious
1,20,6,1,7,6,5,serious
1,19,4,4,4,4,3,responsible
0,20,4,5,5,5,2,responsible
0,20,4,4,4,4,5,serious
0,19,7,2,4,3,4,lively
0,17,6,6,5,7,6,extraverted
1,17,5,4,6,6,5,serious
1,18,5,3,5,6,7,serious
1,23,4,2,1,5,6,serious
0,23,5,4,4,5,4,extraverted
0,24,5,3,7,3,5,serious
0,25,5,7,3,7,6,dependable
0,20,4,5,6,5,5,serious
1,19,6,6,5,1,3,extraverted
0,19,6,1,5,5,6,extraverted
1,17,6,6,7,6,4,serious
1,17,4,6,3,5,4,extraverted
1,22,6,8,2,6,4,dependable
1,23,3,6,6,7,3,serious
0,21,4,2,3,5,4,responsible
1,19,4,4,6,4,3,serious
1,24,6,2,5,2,2,lively
1,25,5,5,1,7,6,extraverted
0,26,6,2,6,3,3,lively
1,23,7,4,7,5,5,serious
0,18,4,4,6,3,5,serious
1,19,2,4,5,5,6,serious
1,20,2,2,4,7,5,serious
0,17,3,7,3,3,7,extraverted
0,21,5,4,6,1,5,serious
1,18,5,4,6,2,1,responsible
0,19,2,5,4,6,3,responsible
0,22,3,6,6,1,6,serious
0,20,8,2,5,1,4,extraverted
0,25,4,6,6,3,6,dependable
1,24,5,6,3,3,8,serious
0,17,5,6,6,2,3,responsible
0,21,5,6,7,4,6,dependable
0,25,2,5,4,4,7,serious
1,23,5,7,1,3,6,extraverted
1,17,6,5,6,2,7,serious
1,19,5,5,5,4,3,serious
0,24,2,6,7,4,6,serious
1,24,4,5,5,6,2,lively
0,19,6,6,5,3,6,extraverted
1,28,4,7,6,2,5,serious
0,20,3,5,3,8,5,extraverted
0,21,4,4,5,6,4,serious
1,19,5,2,7,7,6,serious
1,24,6,4,5,2,6,serious
0,25,3,2,7,2,3,responsible
1,26,6,4,6,6,4,serious
0,21,7,5,5,1,5,dependable
1,19,5,5,4,2,7,serious
0,18,3,5,4,8,7,serious
0,20,4,5,5,2,4,responsible
1,19,1,4,6,7,5,serious
1,21,5,6,5,1,4,serious
1,21,3,4,6,4,7,serious
1,18,3,3,5,7,5,serious
1,19,5,1,1,5,5,serious
0,24,6,4,4,1,7,serious
1,23,3,6,5,5,6,serious
1,25,7,2,5,5,5,serious
0,23,3,3,3,5,4,responsible
0,19,4,6,5,4,4,extraverted
1,20,4,4,5,7,6,serious
0,21,5,4,2,5,8,serious
1,19,5,5,7,7,4,serious
0,18,5,7,7,4,5,extraverted
1,20,6,4,7,6,5,serious
1,23,7,5,4,6,6,serious
1,19,7,6,4,3,5,extraverted
0,26,5,6,5,7,3,extraverted
1,20,5,3,7,8,6,serious
1,18,6,2,7,6,4,lively
0,23,2,2,6,4,6,serious
0,21,4,3,4,5,6,serious
1,21,1,1,6,5,6,serious
0,17,6,3,5,6,4,serious
1,24,4,4,4,5,6,dependable
0,19,6,3,2,4,3,responsible
0,22,5,5,5,5,6,responsible
0,21,5,3,6,8,6,serious
0,20,6,2,5,6,7,serious
1,23,3,6,6,4,3,serious
1,19,5,4,4,5,5,serious
0,23,5,6,6,6,3,extraverted
0,18,5,5,8,6,5,serious
0,18,4,5,6,5,6,serious
0,24,6,5,5,6,3,extraverted
0,18,2,7,1,4,8,extraverted
0,23,6,6,1,2,2,extraverted
0,18,7,4,3,6,1,extraverted
1,19,5,5,4,6,4,dependable
1,19,4,7,4,6,8,serious
0,22,6,2,1,6,6,serious
0,19,5,6,2,5,5,extraverted
1,18,7,2,7,3,6,dependable
1,19,3,4,3,6,5,serious
1,20,6,1,1,7,6,serious
0,18,4,6,7,7,7,serious
1,22,6,1,5,6,4,lively
1,19,5,1,1,2,8,serious
1,25,5,5,6,6,5,extraverted
0,17,6,6,4,7,5,extraverted
0,19,4,1,5,7,5,serious
1,18,4,3,3,7,4,serious
1,17,5,1,5,7,6,serious
0,23,6,7,5,7,6,extraverted
1,20,6,2,5,8,1,lively
0,25,6,1,4,6,3,lively
1,20,4,1,2,7,5,responsible
0,21,7,4,5,7,7,serious
1,22,5,4,7,5,3,lively
1,19,7,2,1,6,5,serious
1,20,6,1,3,7,5,serious
1,19,5,5,3,7,6,responsible
0,19,4,1,6,6,4,responsible
0,19,5,5,5,4,6,serious
0,22,5,1,5,6,6,dependable
0,19,6,6,7,6,5,dependable
1,24,5,1,2,5,4,serious
1,19,6,6,6,4,4,serious
1,19,6,7,7,4,4,dependable
0,18,4,5,5,4,5,responsible
0,22,3,4,3,1,5,responsible
0,19,5,5,2,7,7,extraverted
1,18,7,2,5,5,5,serious
0,19,6,5,5,4,7,serious
0,22,5,3,6,6,5,serious
1,19,5,5,5,6,6,serious
0,19,6,1,7,3,7,serious
0,19,5,1,3,7,6,serious
0,25,5,3,2,7,7,dependable
0,19,6,4,3,5,4,extraverted
1,19,3,4,5,6,6,serious
1,18,6,3,6,7,5,serious
1,26,6,4,5,5,5,serious
0,22,4,4,1,7,6,serious
0,17,7,3,5,3,6,serious
1,20,6,1,6,4,4,lively
0,23,5,7,6,5,6,extraverted
0,19,5,6,5,4,4,extraverted
1,19,6,5,4,5,7,responsible
1,22,3,4,3,4,3,responsible
0,21,5,7,2,6,5,extraverted
1,18,3,5,7,3,6,serious
0,19,5,6,4,2,7,serious
0,19,3,5,3,3,2,responsible
0,20,5,6,5,6,1,extraverted
0,19,5,4,3,5,5,serious
1,23,4,3,2,6,6,dependable
0,20,3,4,7,6,6,serious
0,17,2,6,6,2,5,responsible
1,18,4,4,4,4,4,lively
0,21,6,6,5,6,5,extraverted
1,22,7,7,2,5,7,responsible
0,19,4,7,7,3,5,extraverted
0,25,3,3,5,4,5,serious
0,26,1,5,5,5,5,serious
1,27,1,5,2,7,6,serious
0,18,4,2,3,5,5,responsible
0,17,5,5,3,1,5,responsible
0,19,6,1,5,5,6,serious
1,19,6,3,3,6,5,serious
0,23,7,2,4,6,4,lively
0,22,7,3,4,4,5,serious
1,23,3,3,5,4,7,responsible
1,21,4,4,1,6,4,serious
1,17,7,1,4,5,4,lively
1,20,5,6,6,3,4,serious
0,20,6,5,4,4,5,extraverted
0,18,4,4,1,5,6,extraverted
0,24,4,4,4,6,3,extraverted
1,19,7,3,3,5,6,serious
1,18,4,3,6,6,3,serious
0,19,6,6,2,3,5,extraverted
0,23,6,6,6,3,3,extraverted
1,21,5,5,2,7,5,serious
0,21,6,4,6,6,5,serious
1,25,7,7,5,6,6,extraverted
1,18,3,6,7,4,3,lively
1,17,7,5,7,5,1,lively
1,20,3,4,6,6,5,serious
0,18,5,5,5,7,4,extraverted
1,24,5,6,7,4,5,serious
0,19,6,6,6,5,5,extraverted
1,18,3,5,4,4,2,responsible
0,18,5,4,6,7,4,dependable
1,21,6,4,7,5,5,serious
1,18,4,6,3,6,5,serious
1,17,5,4,5,8,1,lively
0,17,5,4,6,7,5,extraverted
0,21,5,5,7,6,4,serious
1,20,7,5,5,4,5,serious
1,18,6,3,6,6,6,serious
0,19,3,5,3,5,5,extraverted
0,23,6,6,6,4,6,responsible
1,18,8,3,6,7,6,serious
0,18,2,7,6,6,4,extraverted
0,20,6,6,1,5,5,responsible
1,24,6,7,3,1,5,extraverted
0,20,5,8,2,5,7,extraverted
1,18,7,7,8,4,2,lively
1,18,6,6,3,6,6,dependable
1,23,6,6,3,6,3,extraverted
0,18,7,7,7,5,6,dependable
1,21,7,6,6,6,5,serious
1,21,6,7,7,4,5,dependable
1,22,4,6,3,5,4,lively
1,18,5,7,5,4,5,extraverted
0,19,6,6,5,4,4,dependable
1,19,2,5,5,3,7,serious
1,23,5,4,6,4,5,serious
1,19,7,8,7,4,3,extraverted
1,19,1,6,7,8,7,serious
0,20,3,7,3,2,5,extraverted
0,18,5,6,7,5,4,responsible
1,21,6,7,7,6,5,serious
0,20,2,6,5,5,3,extraverted
1,17,3,7,6,3,7,serious
1,22,3,7,6,6,7,serious
0,19,6,6,3,5,7,serious
0,17,6,7,4,4,5,extraverted
1,20,3,7,7,5,6,serious
1,22,4,4,5,2,3,serious
0,19,6,8,1,3,6,extraverted
1,19,6,5,6,7,5,serious
0,21,4,5,7,7,5,serious
1,18,7,5,7,5,5,serious
1,26,2,5,3,6,6,serious
0,26,3,6,6,6,5,extraverted
1,24,5,4,5,7,8,serious
0,18,2,6,6,7,6,extraverted
0,20,5,6,2,2,3,extraverted
1,18,6,5,5,5,7,serious
1,19,1,5,4,7,6,serious
0,22,3,3,2,6,4,responsible
0,17,6,6,3,6,5,extraverted
0,21,2,3,7,8,5,serious
1,20,4,7,3,5,4,responsible
1,19,7,3,4,7,5,serious
1,17,6,6,2,5,6,extraverted
1,20,6,4,8,5,5,serious
0,18,1,4,2,5,5,lively
0,22,5,3,4,5,2,responsible
0,19,6,8,6,4,4,extraverted
1,18,5,1,6,6,3,lively
1,20,7,4,7,6,7,serious
0,19,6,2,3,5,4,responsible
0,5,5,5,5,5,5,responsible
0,21,7,1,7,8,5,lively
1,22,6,2,2,4,4,dependable
1,19,4,4,5,4,5,serious
1,20,5,5,3,4,3,serious
0,18,5,4,4,6,6,serious
1,19,4,3,1,7,5,serious
0,22,7,4,4,3,6,responsible
1,18,6,6,3,2,6,serious
0,18,5,8,5,5,4,extraverted
1,20,1,7,6,3,7,serious
0,22,5,5,4,5,3,lively
1,17,3,2,7,4,6,serious
0,18,6,6,8,2,1,responsible
0,19,6,2,7,1,4,responsible
0,21,5,6,3,5,4,serious
1,24,4,6,5,6,2,extraverted
0,21,1,6,7,4,6,serious
1,20,4,6,6,3,6,serious
1,19,4,2,6,2,3,responsible
1,19,7,7,4,4,5,extraverted
1,17,6,5,5,5,5,responsible
0,17,7,6,5,5,5,extraverted
1,22,7,5,7,2,3,lively
0,17,6,7,7,4,5,responsible
1,18,6,6,7,6,5,serious
0,19,6,5,5,6,4,extraverted
0,23,6,5,7,4,3,extraverted
1,20,7,7,2,7,6,extraverted
1,21,5,8,5,6,6,extraverted
0,20,5,6,4,6,7,extraverted
0,20,5,5,4,4,5,lively
1,19,4,6,6,4,5,serious
1,25,5,8,4,6,6,extraverted
0,25,7,4,3,8,5,extraverted
1,17,3,7,1,5,5,extraverted
0,18,5,5,6,6,4,extraverted
0,25,5,8,7,1,1,extraverted
0,22,6,5,5,7,5,extraverted
1,17,6,3,7,1,8,serious
1,18,5,6,6,4,4,serious
1,23,4,4,5,6,4,serious
1,24,4,7,7,3,6,serious
0,19,6,3,2,4,8,serious
0,19,4,5,6,5,5,serious
0,17,6,3,6,4,6,serious
1,20,1,2,5,8,4,serious
1,18,3,3,6,5,5,serious
1,22,4,4,7,5,6,serious
0,19,6,5,6,4,3,extraverted
1,18,2,5,8,3,7,dependable
1,18,7,5,6,2,7,serious
1,23,6,7,5,4,3,extraverted
0,18,5,7,3,5,6,extraverted
